,기준년월,그룹번호,그룹내고객수,종목번호,그룹내_매수여부,그룹내_매도여부,매수고객수,매도고객수,평균매수수량,평균매도수량,매수가격_중앙값,매도가격_중앙값,평균가격
34,201907,MAD03,250,A093370,Y,Y,7,7,3492,3487,9133,9200,9406
35,201907,MAD03,250,A096610,Y,Y,3,3,396,396,8100,8120,7132
36,201907,MAD03,250,A102940,Y,Y,3,3,279,317,23499,23885,22698
37,201907,MAD03,250,A179290,Y,Y,3,3,784,518,5197,5660,4604
38,201907,MAD03,250,A195440,Y,Y,3,3,16174,10021,391,502,411
39,201907,MAD03,250,A207760,Y,Y,4,4,536,778,7490,6810,6318
40,201907,MAD03,250,A207940,Y,Y,3,4,63,54,281500,276600,296002
41,201907,MAD03,250,A215600,Y,Y,3,3,32,43,45075,42430,47027
42,201907,MAD03,250,A219130,Y,Y,4,4,504,504,7360,7520,6017
43,201907,MAD03,250,A239340,Y,Y,5,6,8149,7604,8625,8508,8412
44,201907,MAD03,250,A263540,Y,Y,5,7,3261,4046,15500,15650,16913
45,201907,MAD03,250,A290270,Y,Y,3,3,608,608,8190,8513,7377
46,201907,MAD03,250,A300080,Y,Y,3,3,124,124,31300,30250,34575
47,201907,MAD03,250,A317320,Y,Y,3,3,3054,3054,4453,4834,3814
48,201907,MAD03,250,A317850,Y,Y,3,4,1029,1048,13000,11700,10359
49,201907,MAD04,776,A000100,Y,Y,8,4,64,92,242000,248000,232138
50,201907,MAD04,776,A000660,Y,Y,23,36,329,434,74800,74700,74563
51,201907,MAD04,776,A000720,Y,Y,4,7,163,228,52800,52800,48094
52,201907,MAD04,776,A001140,Y,Y,5,5,1232,1440,7411,7332,6366
53,201907,MAD04,776,A001820,Y,Y,6,6,46,76,46591,52200,48992
54,201907,MAD04,776,A002140,Y,Y,4,3,325,182,2930,3215,3203
55,201907,MAD04,776,A003410,Y,Y,4,3,655,692,5906,5974,5952
56,201907,MAD04,776,A004310,Y,Y,4,3,703,1066,5010,4925,4751
57,201907,MAD04,776,A005290,Y,Y,8,7,190,183,13800,13350,14357
58,201907,MAD04,776,A005360,Y,Y,6,6,5187,3844,6764,7145,4225
59,201907,MAD04,776,A005380,Y,Y,3,3,117,104,132500,134500,134906
60,201907,MAD04,776,A005390,Y,Y,8,8,5583,4703,1388,1417,1330
61,201907,MAD04,776,A005690,Y,Y,6,7,82,227,7895,7430,8028
62,201907,MAD04,776,A005930,Y,Y,25,44,176,277,46433,46500,46248
63,201907,MAD04,776,A005935,Y,Y,8,9,92,60,38150,37740,38035
64,201907,MAD04,776,A006400,Y,Y,5,6,14,31,242500,230500,236559
65,201907,MAD04,776,A008770,Y,Y,5,5,180,190,84800,85100,85257
66,201907,MAD04,776,A009150,Y,Y,17,14,69,57,94000,94100,93698
67,201907,MAD04,776,A009270,Y,Y,3,4,1227,1064,2220,2555,2286
68,201907,MAD04,776,A010660,Y,Y,3,3,1276,605,4019,3625,3513
69,201907,MAD04,776,A012610,Y,Y,7,6,2298,2275,9642,9871,7415
70,201907,MAD04,776,A014470,Y,Y,3,3,1643,1610,3978,3968,3763
71,201907,MAD04,776,A014990,Y,Y,3,4,1329,1671,3295,3071,3220
72,201907,MAD04,776,A015760,Y,Y,3,4,21,870,27500,25600,26141
73,201907,MAD04,776,A017670,Y,Y,3,3,20,31,250000,259500,256426
74,201907,MAD04,776,A020560,Y,Y,3,3,97,15,6060,6100,6045
75,201907,MAD04,776,A028300,Y,Y,6,10,225,289,33300,33489,32626
76,201907,MAD04,776,A030200,Y,N,4,0,3,0,27850,-1,27946
77,201907,MAD04,776,A033180,Y,Y,4,3,912,1898,5310,5740,5580
78,201907,MAD04,776,A033340,Y,Y,5,4,1277,2034,4650,5360,5088
79,201907,MAD04,776,A034220,Y,Y,5,4,292,241,16450,14600,16696
80,201907,MAD04,776,A035890,Y,Y,3,3,3712,1095,1245,1245,1325
81,201907,MAD04,776,A036180,Y,Y,3,3,525,643,9610,9680,11364
82,201907,MAD04,776,A036830,Y,Y,7,8,83,41,66648,68900,62346
83,201907,MAD04,776,A037330,Y,Y,4,3,238,163,2365,2393,2385
84,201907,MAD04,776,A041140,Y,Y,3,4,4223,4459,8502,8518,8449
85,201907,MAD04,776,A045890,Y,Y,3,3,1863,2088,2230,2429,2140
86,201907,MAD04,776,A047400,Y,Y,3,3,3624,4367,2812,2925,2822
87,201907,MAD04,776,A048410,Y,Y,7,6,878,1021,17050,17250,15369
88,201907,MAD04,776,A051910,Y,Y,8,7,14,8,335500,355000,347691
89,201907,MAD04,776,A054940,Y,Y,5,6,4166,5345,2197,2198,1843
90,201907,MAD04,776,A059090,Y,Y,3,3,1460,920,5552,5900,5640
91,201907,MAD04,776,A061970,Y,Y,3,5,414,593,9815,10010,10811
92,201907,MAD04,776,A064350,Y,Y,3,3,58,531,19250,20650,19231
93,201907,MAD04,776,A066570,Y,Y,15,4,27,7,70500,71066,71210
94,201907,MAD04,776,A068270,Y,Y,22,10,139,304,182500,180000,189614
95,201907,MAD04,776,A078130,Y,Y,10,10,1645,3271,5880,5911,4644
96,201907,MAD04,776,A078590,Y,Y,4,4,1158,1553,1420,1612,1543
97,201907,MAD04,776,A084370,Y,Y,3,3,93,208,11800,12150,11574
98,201907,MAD04,776,A091990,Y,Y,6,3,196,32,57650,51400,52683
99,201907,MAD04,776,A093230,Y,Y,9,11,9088,6915,422,423,513
100,201907,MAD04,776,A093370,Y,Y,20,21,26187,22738,10400,9519,9406
101,201907,MAD04,776,A095610,Y,Y,3,4,212,199,17450,17198,16735
102,201907,MAD04,776,A100660,Y,Y,3,3,97,97,6939,7105,6915
103,201907,MAD04,776,A102280,Y,Y,3,3,55,79,1190,1205,1095
104,201907,MAD04,776,A105560,Y,Y,4,4,48,69,43616,46825,44542
105,201907,MAD04,776,A128940,Y,Y,4,5,37,42,304717,304000,312945
106,201907,MAD04,776,A140410,Y,Y,3,3,132,105,97404,98734,93851
107,201907,MAD04,776,A160600,Y,Y,3,3,2962,3094,5866,5900,5917
108,201907,MAD04,776,A171090,Y,Y,3,3,71,121,9240,9430,8676
109,201907,MAD04,776,A178920,Y,Y,3,6,28,639,31300,28700,30633
110,201907,MAD04,776,A180640,Y,Y,4,5,4683,8743,30050,29578,28613
111,201907,MAD04,776,A207760,Y,Y,3,3,530,524,7240,6890,6318
112,201907,MAD04,776,A207940,Y,Y,11,10,15,26,292000,279500,296002
113,201907,MAD04,776,A215600,Y,Y,7,9,18,137,46350,42000,47027
114,201907,MAD04,776,A234340,Y,Y,4,3,62,62,50035,50850,44313
115,201907,MAD04,776,A239340,Y,Y,5,5,10464,9256,8640,8750,8412
116,201907,MAD04,776,A263540,Y,Y,11,11,362,448,17350,17950,16913
117,201907,MAD04,776,A289010,Y,Y,4,4,505,691,9980,8850,10208
118,201907,MAD04,776,A308100,Y,Y,3,3,78,49,13450,13350,13051
119,201907,MAD04,776,A312610,Y,Y,3,4,139,146,21400,21700,18693
120,201907,MAD05,890,A000100,Y,Y,4,3,4,8,228000,247000,232138
121,201907,MAD05,890,A000660,Y,Y,3,11,6,23,67000,78800,74563
122,201907,MAD05,890,A000720,Y,Y,4,3,57,31,48355,46800,48094
123,201907,MAD05,890,A001820,Y,Y,6,4,19,62,51859,47150,48992
124,201907,MAD05,890,A002210,Y,Y,4,7,233,544,20188,20850,20014
125,201907,MAD05,890,A002700,Y,Y,6,6,3174,3191,1785,1765,1946
126,201907,MAD05,890,A004270,Y,Y,3,3,2835,3941,4440,4005,3924
127,201907,MAD05,890,A005110,Y,Y,3,3,331,1698,3420,3517,3196
128,201907,MAD05,890,A005290,Y,Y,11,12,563,667,13850,14125,14357
129,201907,MAD05,890,A005360,Y,Y,12,15,2327,3334,4525,4350,4225
130,201907,MAD05,890,A005390,Y,Y,6,7,3047,4270,1325,1395,1330
131,201907,MAD05,890,A005690,Y,Y,5,4,336,369,9100,8930,8028
132,201907,MAD05,890,A005930,Y,Y,10,20,9384,10024,46299,46400,46248
133,201907,MAD05,890,A006400,N,Y,0,3,0,10,-1,244500,236559
134,201907,MAD05,890,A008700,Y,Y,3,4,668,1067,2750,2751,2606
135,201907,MAD05,890,A008770,Y,Y,3,3,55,28,83600,89000,85257
136,201907,MAD05,890,A009150,Y,Y,12,10,166,107,96033,96000,93698
137,201907,MAD05,890,A010140,Y,Y,9,4,555,257,7695,7820,7636
138,201907,MAD05,890,A010660,Y,Y,3,4,1477,2026,3770,3816,3513
139,201907,MAD05,890,A010950,N,Y,0,3,0,51,-1,88500,90541
140,201907,MAD05,890,A012610,Y,Y,4,5,459,505,9835,9635,7415
141,201907,MAD05,890,A012800,Y,Y,3,4,700,1260,1450,1405,1375
142,201907,MAD05,890,A014970,Y,Y,4,4,663,413,8985,9210,6921
143,201907,MAD05,890,A017670,Y,Y,4,4,87,93,258000,259500,256426
144,201907,MAD05,890,A020560,Y,Y,5,8,176,393,6090,6110,6045
145,201907,MAD05,890,A023770,Y,Y,4,3,14,7,41950,41080,39900
146,201907,MAD05,890,A028260,Y,Y,5,3,68,62,92280,91700,93661
147,201907,MAD05,890,A028300,Y,Y,11,10,394,204,33885,35292,32626
148,201907,MAD05,890,A032500,Y,Y,3,3,34,68,48350,50200,46870
149,201907,MAD05,890,A033340,N,Y,0,4,0,89,-1,5800,5088
150,201907,MAD05,890,A035720,Y,Y,9,16,25,53,131000,132500,131411
151,201907,MAD05,890,A036810,Y,Y,3,4,650,935,8200,7477,7599
152,201907,MAD05,890,A036830,Y,Y,9,11,102,83,76785,65904,62346
153,201907,MAD05,890,A051910,Y,Y,4,5,2,7,346750,353500,347691
154,201907,MAD05,890,A054300,Y,Y,3,3,23935,23402,1258,1264,1130
155,201907,MAD05,890,A054940,Y,Y,5,8,1769,1975,1948,1958,1843
156,201907,MAD05,890,A058630,Y,Y,3,4,2060,2907,4201,3752,3835
157,201907,MAD05,890,A065530,Y,Y,3,3,369,321,4130,4332,3997
158,201907,MAD05,890,A068270,Y,Y,26,15,326,317,185500,188750,189614
159,201907,MAD05,890,A078130,Y,Y,10,10,1373,1667,5766,5691,4644
160,201907,MAD05,890,A078590,Y,Y,3,4,128,191,1823,1845,1543
161,201907,MAD05,890,A084990,Y,Y,4,3,95,102,204233,216500,185307
162,201907,MAD05,890,A090430,Y,Y,3,3,43,60,158000,159500,159041
163,201907,MAD05,890,A091990,Y,Y,4,5,197,225,51900,45500,52683
164,201907,MAD05,890,A093230,Y,Y,10,9,4256,3827,609,536,513
165,201907,MAD05,890,A093370,Y,Y,16,14,1687,1316,9173,9470,9406
166,201907,MAD05,890,A095700,Y,Y,3,3,95,75,59200,62000,60332
167,201907,MAD05,890,A096040,Y,Y,3,3,32600,35848,404,403,283
168,201907,MAD05,890,A102280,Y,Y,3,3,1393,1393,1022,1055,1095
169,201907,MAD05,890,A117670,Y,Y,3,3,723,1406,7750,6975,7696
170,201907,MAD05,890,A120240,Y,Y,3,3,522,222,15563,13365,14327
171,201907,MAD05,890,A121800,Y,Y,3,4,158,211,8240,8030,7516
172,201907,MAD05,890,A127160,Y,Y,3,4,984,1947,1870,1970,1775
173,201907,MAD05,890,A204320,N,Y,0,3,0,65,-1,33600,29935
174,201907,MAD05,890,A207760,Y,Y,3,5,1457,3013,4440,4405,6318
175,201907,MAD05,890,A207940,Y,Y,6,6,70,64,292000,310375,296002
176,201907,MAD05,890,A215100,Y,Y,4,4,759,759,6114,6086,5974
177,201907,MAD05,890,A215600,Y,Y,4,9,32,107,44796,44150,47027
178,201907,MAD05,890,A217600,Y,Y,4,4,1269,1694,1875,1950,1627
179,201907,MAD05,890,A219420,Y,Y,4,3,650,630,10656,7968,9652
180,201907,MAD05,890,A234340,Y,Y,3,3,24,43,42700,53900,44313
181,201907,MAD05,890,A253450,Y,Y,4,3,13,12,65500,67000,66695
182,201907,MAD05,890,A263540,Y,Y,6,10,352,372,16950,16000,16913
183,201907,MAD05,890,A298690,Y,Y,7,8,1246,1465,7530,7607,7358
184,201907,MAD05,890,A307930,Y,Y,3,3,680,699,10725,10892,9061
185,201907,MAD05,890,A312610,Y,Y,6,5,124,98,22445,22581,18693
186,201907,MAD05,890,A317850,Y,Y,4,4,547,547,13049,11150,10359
187,201907,MAD06,1615,A000080,Y,Y,3,6,29,58,22050,21750,21627
188,201907,MAD06,1615,A000100,Y,Y,9,9,118,104,241500,242500,232138
189,201907,MAD06,1615,A000120,N,Y,0,3,0,53,-1,139000,135404
190,201907,MAD06,1615,A000270,Y,Y,7,5,96,94,44000,44000,43024
191,201907,MAD06,1615,A000660,Y,Y,27,63,77,145,74600,72150,74563
192,201907,MAD06,1615,A000720,Y,Y,11,7,40,14,48700,48800,48094
193,201907,MAD06,1615,A000890,N,Y,0,4,0,296,-1,1250,1200
194,201907,MAD06,1615,A001140,Y,Y,4,4,178,196,6835,6920,6366
195,201907,MAD06,1615,A001740,Y,Y,3,4,1406,3511,5130,5190,5296
196,201907,MAD06,1615,A001820,Y,Y,6,7,58,114,52900,55000,48992
197,201907,MAD06,1615,A002070,Y,Y,5,6,42,113,24500,24500,9965
198,201907,MAD06,1615,A003490,Y,Y,9,3,40,11,28900,28693,28027
199,201907,MAD06,1615,A004060,Y,Y,4,3,986,461,1045,1160,1054
200,201907,MAD06,1615,A004170,Y,Y,8,6,96,84,273000,274000,276196
201,201907,MAD06,1615,A004830,Y,Y,3,4,281,431,3960,4275,3823
202,201907,MAD06,1615,A005110,Y,Y,4,5,1825,1428,3190,3233,3196
203,201907,MAD06,1615,A005290,Y,Y,16,17,801,846,12915,12742,14357
204,201907,MAD06,1615,A005360,Y,Y,20,21,2043,2211,4753,4868,4225
205,201907,MAD06,1615,A005380,Y,Y,13,7,31,23,136774,134500,134906
206,201907,MAD06,1615,A005390,Y,Y,5,4,1223,688,1271,1390,1330
207,201907,MAD06,1615,A005690,Y,Y,6,7,787,1123,8011,8147,8028
208,201907,MAD06,1615,A005930,Y,Y,74,76,436,490,46150,46050,46248
209,201907,MAD06,1615,A005935,Y,Y,9,11,16,189,37550,38475,38035
210,201907,MAD06,1615,A006280,Y,Y,3,3,10,3,107000,115000,113392
211,201907,MAD06,1615,A006360,Y,Y,6,6,67,97,38350,38190,35947
212,201907,MAD06,1615,A006400,Y,Y,9,17,11,41,234750,238500,236559
213,201907,MAD06,1615,A007110,Y,Y,5,8,2470,4873,3180,3082,3123
214,201907,MAD06,1615,A008350,Y,Y,6,5,715,776,3515,3620,3398
215,201907,MAD06,1615,A008730,Y,Y,3,4,72,94,18600,17250,14049
216,201907,MAD06,1615,A008770,Y,Y,23,16,77,83,87600,83700,85257
217,201907,MAD06,1615,A009150,Y,Y,34,23,252,461,94200,95964,93698
218,201907,MAD06,1615,A009470,Y,Y,4,4,83,233,19650,20617,17266
219,201907,MAD06,1615,A010060,Y,Y,3,3,13,25,80200,95154,89504
220,201907,MAD06,1615,A010140,Y,Y,8,7,189,460,7180,8190,7636
221,201907,MAD06,1615,A010600,Y,Y,3,3,474,632,4945,4760,4597
222,201907,MAD06,1615,A010660,Y,Y,5,5,1116,2043,3755,3725,3513
223,201907,MAD06,1615,A010950,Y,Y,7,11,17,42,89200,94800,90541
224,201907,MAD06,1615,A011070,Y,Y,5,4,3521,3580,112500,110500,111933
225,201907,MAD06,1615,A011170,Y,Y,6,5,10,27,253000,236500,248795
226,201907,MAD06,1615,A012610,Y,Y,11,11,132,118,9650,7930,7415
227,201907,MAD06,1615,A012800,Y,Y,5,4,783,791,1350,1419,1375
228,201907,MAD06,1615,A013310,Y,Y,5,5,468,451,3200,3272,2860
229,201907,MAD06,1615,A014970,Y,Y,3,3,1654,1836,8120,7730,6921
230,201907,MAD06,1615,A014990,Y,Y,4,4,2781,2781,3350,3241,3220
231,201907,MAD06,1615,A015760,Y,Y,6,9,206,513,25850,27350,26141
232,201907,MAD06,1615,A017180,Y,N,3,0,148,0,5100,-1,4878
233,201907,MAD06,1615,A017670,Y,Y,6,4,8,9,256550,260000,256426
234,201907,MAD06,1615,A017800,Y,Y,6,8,9,25,94775,94700,86856
235,201907,MAD06,1615,A018250,Y,Y,3,4,330,537,37822,36985,35762
236,201907,MAD06,1615,A018290,N,Y,0,4,0,648,-1,9102,10012
237,201907,MAD06,1615,A018880,Y,Y,3,4,730,725,11999,12049,11677
238,201907,MAD06,1615,A020120,Y,Y,4,4,75,247,5050,4000,4053
239,201907,MAD06,1615,A020150,Y,Y,4,7,587,938,38257,39954,39137
240,201907,MAD06,1615,A020560,Y,Y,9,13,106,201,6246,6090,6045
241,201907,MAD06,1615,A023770,Y,Y,7,7,137,122,46387,43050,39900
242,201907,MAD06,1615,A023900,Y,Y,4,4,5813,6167,20115,20094,20781
243,201907,MAD06,1615,A027580,Y,Y,4,6,2841,2410,1614,1763,1574
244,201907,MAD06,1615,A028260,Y,Y,7,9,39,63,93797,93000,93661
245,201907,MAD06,1615,A028300,Y,Y,12,12,364,370,30850,33250,32626
246,201907,MAD06,1615,A032500,Y,Y,13,11,710,756,49735,50153,46870
247,201907,MAD06,1615,A032820,Y,Y,3,4,29,504,989,1070,1044
248,201907,MAD06,1615,A033180,Y,Y,4,4,1695,241,5696,5700,5580
249,201907,MAD06,1615,A033340,Y,Y,8,7,582,1022,5000,5650,5088
250,201907,MAD06,1615,A033430,Y,Y,4,4,8863,8863,1175,1225,1205
251,201907,MAD06,1615,A033640,Y,Y,4,4,22,31,32000,30350,31156
252,201907,MAD06,1615,A034220,Y,Y,10,6,42,39,14625,14500,16696
253,201907,MAD06,1615,A035420,Y,Y,10,19,14,75,117000,127971,122813
254,201907,MAD06,1615,A035720,Y,Y,21,31,55,63,130666,132000,131411
255,201907,MAD06,1615,A035760,Y,Y,4,5,8,13,170000,170072,171739
256,201907,MAD06,1615,A035900,Y,Y,4,5,289,374,20559,20900,21739
257,201907,MAD06,1615,A036460,Y,Y,3,4,37,31,45150,44350,43458
258,201907,MAD06,1615,A036570,Y,Y,4,6,100,99,477000,481166,485672
259,201907,MAD06,1615,A036830,Y,Y,15,14,76,151,62700,69000,62346
260,201907,MAD06,1615,A036930,Y,Y,3,4,265,842,6590,6675,6562
261,201907,MAD06,1615,A037070,Y,Y,4,5,123,104,11000,11550,10554
262,201907,MAD06,1615,A038160,Y,Y,3,3,1242,1242,9579,9483,10123
263,201907,MAD06,1615,A039200,Y,Y,3,4,24,320,20825,18670,20484
264,201907,MAD06,1615,A041140,Y,Y,6,7,106,146,8590,8550,8449
265,201907,MAD06,1615,A041190,Y,Y,6,5,1154,518,3100,3470,3401
266,201907,MAD06,1615,A042040,Y,Y,3,3,4932,5266,1370,1240,985
267,201907,MAD06,1615,A045390,Y,Y,6,4,1781,1992,5640,5280,5504
268,201907,MAD06,1615,A045890,Y,Y,4,5,1017,1128,1738,1844,2140
269,201907,MAD06,1615,A047310,Y,Y,3,5,900,418,10750,12200,11171
270,201907,MAD06,1615,A047400,Y,Y,3,3,4530,4750,3055,2905,2822
271,201907,MAD06,1615,A047810,Y,Y,3,10,202,963,33900,34300,35100
272,201907,MAD06,1615,A048410,Y,Y,6,4,73,32,17900,17050,15369
273,201907,MAD06,1615,A049480,Y,Y,3,3,104,347,3283,3065,3019
274,201907,MAD06,1615,A050890,Y,Y,4,6,729,801,5749,5910,5593
275,201907,MAD06,1615,A051900,Y,Y,6,7,4,7,1281000,1318000,1284182
276,201907,MAD06,1615,A051910,Y,Y,7,7,196,179,353500,355000,347691
277,201907,MAD06,1615,A052900,Y,Y,5,4,1563,1571,1500,1420,1217
278,201907,MAD06,1615,A054780,Y,Y,3,3,430,457,2775,2800,2801
279,201907,MAD06,1615,A054940,Y,Y,9,10,829,786,2045,2095,1843
280,201907,MAD06,1615,A057500,Y,Y,6,5,2105,2217,4157,4188,3941
281,201907,MAD06,1615,A058400,Y,Y,3,3,1438,918,1269,1240,1072
282,201907,MAD06,1615,A058630,Y,Y,5,5,734,921,3900,3980,3835
283,201907,MAD06,1615,A061970,Y,Y,4,7,876,964,9656,9690,10811
284,201907,MAD06,1615,A064260,Y,Y,3,3,340,340,4100,3455,3373
285,201907,MAD06,1615,A064350,Y,Y,7,7,852,669,20100,19850,19231
286,201907,MAD06,1615,A066430,Y,Y,3,3,49,49,10600,10600,9197
287,201907,MAD06,1615,A066570,Y,Y,20,10,159,78,69030,65400,71210
288,201907,MAD06,1615,A067630,Y,Y,5,4,436,505,7035,7420,7155
289,201907,MAD06,1615,A068270,Y,Y,26,22,25,48,183000,178400,189614
290,201907,MAD06,1615,A078070,Y,Y,5,5,148,250,37100,36600,37203
291,201907,MAD06,1615,A078130,Y,Y,24,24,924,800,5929,6007,4644
292,201907,MAD06,1615,A078590,Y,Y,11,9,13593,12055,1464,1486,1543
293,201907,MAD06,1615,A081000,Y,Y,5,6,40,59,32600,32550,32794
294,201907,MAD06,1615,A086900,Y,Y,4,3,19,8,422500,416669,423259
295,201907,MAD06,1615,A088800,Y,Y,3,3,345,526,10100,10347,9987
296,201907,MAD06,1615,A090430,Y,Y,12,7,51,47,161000,159500,159041
297,201907,MAD06,1615,A090460,Y,N,3,0,150,0,19183,-1,18986
298,201907,MAD06,1615,A093230,Y,Y,13,14,3353,3739,455,479,513
299,201907,MAD06,1615,A093370,Y,Y,37,38,394,498,9467,8675,9406
300,201907,MAD06,1615,A096040,Y,Y,4,3,1692,1688,256,254,283
301,201907,MAD06,1615,A096610,Y,Y,4,4,342,342,7657,7571,7132
302,201907,MAD06,1615,A096760,Y,Y,3,5,734,1928,5910,7714,6343
303,201907,MAD06,1615,A096770,Y,Y,3,9,5,46,167000,177066,170284
304,201907,MAD06,1615,A100660,Y,Y,4,5,165,712,8014,7280,6915
305,201907,MAD06,1615,A102280,Y,Y,5,8,1516,1815,1210,1300,1095
306,201907,MAD06,1615,A102710,Y,Y,3,3,253,250,20267,23650,21243
307,201907,MAD06,1615,A121800,Y,Y,8,8,4741,4552,7288,7230,7516
308,201907,MAD06,1615,A122870,Y,Y,4,4,357,666,25410,26550,27624
309,201907,MAD06,1615,A128940,Y,Y,10,8,94,90,301500,295000,312945
310,201907,MAD06,1615,A138080,Y,Y,9,7,46,102,54650,61437,61883
311,201907,MAD06,1615,A161390,Y,Y,3,5,9,120,32688,32245,32615
312,201907,MAD06,1615,A161890,Y,Y,4,3,79,95,60600,59300,57516
313,201907,MAD06,1615,A171010,Y,Y,5,5,471,785,6620,6088,6355
314,201907,MAD06,1615,A178920,Y,Y,5,4,155,297,29673,31900,30633
315,201907,MAD06,1615,A179900,Y,Y,3,4,216,1741,24750,22350,22618
316,201907,MAD06,1615,A181710,Y,Y,3,5,114,81,70800,65900,66792
317,201907,MAD06,1615,A195440,Y,Y,4,3,9530,9343,455,378,411
318,201907,MAD06,1615,A200710,Y,Y,3,5,1376,1374,15050,14768,13426
319,201907,MAD06,1615,A204320,Y,Y,6,11,462,389,27850,28260,29935
320,201907,MAD06,1615,A207760,Y,Y,10,11,4364,5429,5738,5390,6318
321,201907,MAD06,1615,A207940,Y,Y,20,15,23,10,285500,313300,296002
322,201907,MAD06,1615,A215100,Y,Y,3,3,77,53,6146,6150,5974
323,201907,MAD06,1615,A215600,Y,Y,19,19,78,135,45750,46700,47027
324,201907,MAD06,1615,A217600,Y,Y,5,6,440,542,1995,1775,1627
325,201907,MAD06,1615,A218410,Y,Y,5,7,36,205,29170,31178,30457
326,201907,MAD06,1615,A220260,Y,Y,5,5,565,517,4009,4060,4010
327,201907,MAD06,1615,A234340,Y,Y,3,4,27,60,44633,49500,44313
328,201907,MAD06,1615,A239340,Y,Y,8,9,461,429,8800,8878,8412
329,201907,MAD06,1615,A241840,Y,Y,4,7,8217,6957,13450,13591,12570
330,201907,MAD06,1615,A251270,Y,Y,10,8,92,58,101000,96500,94358
331,201907,MAD06,1615,A263540,Y,Y,15,17,572,615,15575,16342,16913
332,201907,MAD06,1615,A267850,Y,Y,3,4,84,101,22548,21870,22370
333,201907,MAD06,1615,A271560,Y,Y,5,3,17,14,83700,88800,85962
334,201907,MAD06,1615,A281820,N,Y,0,3,0,57,-1,16000,16265
335,201907,MAD06,1615,A298040,Y,Y,3,3,195,112,34637,33950,31696
336,201907,MAD06,1615,A298380,Y,Y,4,5,49,257,20450,21000,22689
337,201907,MAD06,1615,A298690,Y,Y,7,6,171,112,7160,7830,7358
338,201907,MAD06,1615,A300080,Y,Y,5,4,66,64,31061,29250,34575
339,201907,MAD06,1615,A307930,Y,Y,4,3,86,93,8340,8240,9061
340,201907,MAD06,1615,A313760,Y,Y,4,4,10,16,28401,28500,22767
341,201907,MAD06,1615,A317850,Y,Y,5,6,40,70,13150,10400,10359
342,201907,MAD07,86,A009150,Y,Y,4,3,45,33,91017,90500,93698
343,201907,MAD08,386,A002210,Y,Y,3,3,1030,2926,21050,18250,20014
344,201907,MAD08,386,A005290,Y,Y,10,11,197,203,14000,14450,14357
345,201907,MAD08,386,A005360,Y,Y,5,5,1080,1603,4017,4423,4225
