거래량,거래금액_만원단위,20년7월TOP3대상여부,시장구분,종목명,종목번호,표준산업구분코드_대분류,표준산업구분코드_소분류,표준산업구분코드_중분류,평균가격,기준년월
994001.5,5467284.363636363,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,55002.77779899088,202006
904917.55,5013368.55,Y,코스피,유한양행,A000100,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,55401.38491070263,202007
42997.565217391304,582928.4782608695,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,135572.43888430487,201907
42852.95238095238,593952.8571428572,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,138602.5522495533,201908
55732.05263157895,794757.052631579,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,142603.22652843635,201909
50339.23809523809,755469.9523809524,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,150075.76216224398,201910
54904.95238095238,876614.5238095238,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,159660.37411838985,201911
36245.55,554693.4,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,153037.65565703926,201912
47532.7,687102.25,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,144553.59152751684,202001
70996.05,1008738.6,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,142083.76381502915,202002
84437.95454545454,1093887.6818181819,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,129549.28713121793,202003
76231.6,1061995.75,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,139311.74867115472,202004
102269.36842105263,1540287.894736842,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,150610.87386355334,202005
52918.27272727273,857483.6363636364,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,162039.2337412236,202006
49792.55,792865.2,N,코스피,CJ대한통운,A000120,운수 및 창고업,도로 화물 운송업,육상운송 및 파이프라인 운송업,159233.7006238885,202007
1102576.043478261,1266895.7826086956,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,11490.325679597214,201907
1111042.8095238095,1257124.5714285714,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,11314.816680802534,201908
131786.42105263157,146810.7894736842,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,11140.054362281555,201909
102083.33333333333,121346.80952380953,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,11887.034402332361,201910
54857.04761904762,76896.71428571429,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,14017.65454453914,201911
54898.15,69275.65,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,12618.940711116857,201912
50438.05,71413.35,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,14158.626275202949,202001
44737.25,60144.75,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,13443.998010606372,202002
59781.63636363636,61652.13636363636,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,10312.888725330673,202003
36067.55,43752.7,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,12130.76574372254,202004
67576.31578947368,104945.57894736843,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,15529.93496631489,202005
137084.9090909091,275848.2727272727,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,20122.439045740728,202006
38666.5,83065.8,Y,코스피,하이트진로홀딩스,A000140,금융 및 보험업,기타 금융업,금융업,21482.62708028914,202007
397612.1304347826,736092.3913043478,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,18512.82531293606,201907
476048.71428571426,1378160.4285714286,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,28949.987411252332,201908
89383.94736842105,207183.84210526315,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,23179.08843869881,201909
65658.80952380953,127961.57142857143,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,19488.865600307505,201910
41128.57142857143,77837.14285714286,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,18925.321292115317,201911
21041.25,34239.95,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,16272.77371829145,201912
10515.15,16372.05,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,15569.963338611433,202001
17087.95,27929.55,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,16344.587852843668,202002
8663.181818181818,9980.90909090909,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,11521.066162967625,202003
4208.65,5057.4,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,12016.679932995141,202004
3162.1052631578946,4317.368421052632,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,13653.4620505992,202005
31358.5,59678.545454545456,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,19031.058709614765,202006
10448.8,20076.0,N,코스피,하이트진로홀딩스우,A000145,금융 및 보험업,기타 금융업,금융업,19213.689610290177,202007
61864.30434782609,610090.1304347826,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,98617.47204084114,201907
57353.04761904762,555332.9047619047,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,96827.09599855199,201908
105918.05263157895,1122860.9473684211,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,106012.2348806898,201909
61334.04761904762,493786.71428571426,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,80507.76582570854,201910
82796.66666666667,608833.4761904762,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,73533.57335526505,201911
72090.85,498576.15,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,69159.42175740749,201912
55805.25,369573.8,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,66225.63289296257,202001
56639.45,345877.55,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,61066.544608042626,202002
205107.4090909091,803041.5,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,39152.242406029836,202003
193511.85,731413.55,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,37796.83518089461,202004
116710.8947368421,442557.4736842105,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,37919.12269048079,202005
237429.63636363635,1027590.4545454546,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,43279.78892119618,202006
216032.55,967616.95,N,코스피,두산,A000150,전문· 과학 및 기술 서비스업,회사 본부 및 경영 컨설팅 서비스업,전문서비스업,44790.33136441708,202007
112797.0,1212882.7826086956,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,107527.92916555367,201907
138977.38095238095,1353495.8095238095,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,97389.64716766175,201908
116664.21052631579,1163737.3157894737,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,99751.01280327706,201909
103706.66666666667,990619.3333333334,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,95521.27796348676,201910
99561.61904761905,922953.2380952381,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,92701.71045067089,201911
129383.4,1154908.95,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,89262.52904159266,201912
120596.75,1023782.9,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,84893.07547674378,202001
132176.3,1049243.6,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,79382.12826353894,202002
324521.63636363635,2062977.3636363635,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,63569.79419778146,202003
576360.6,4568452.25,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,79263.78468618431,202004
351463.5789473684,2949376.8947368423,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,83916.99941058503,202005
268928.63636363635,2400663.590909091,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,89267.68169318321,202006
176290.15,1525701.15,N,코스피,대림산업,A000210,건설업,토목 건설업,종합 건설업,86544.88920679914,202007
22866.08695652174,24838.434782608696,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,10862.564648615758,201907
27807.85714285714,26413.571428571428,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,9498.600087334002,201908
52147.84210526316,57191.52631578947,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,10967.189438125813,201909
44749.666666666664,49807.333333333336,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,11130.21326043397,201910
24110.190476190477,27786.714285714286,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,11524.883767780468,201911
159516.1,182043.6,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,11412.239893026472,201912
329748.2,416950.4,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,12644.508749403334,202001
162161.5,188934.25,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,11650.992991554716,202002
168766.45454545456,156514.13636363635,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,9274.007490717402,202003
510577.6,639791.5,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,12530.739695591818,202004
124504.8947368421,147331.0,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,11833.350031049296,202005
499738.1818181818,687687.7272727273,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,13760.960284658147,202006
1284977.75,2362453.45,N,코스피,유유제약,A000220,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,18385.170093412125,202007
141818.39130434784,501444.4347826087,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,35358.209197740034,201907
242668.47619047618,731638.5714285715,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,30149.716309022817,201908
159083.7894736842,532302.052631579,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,33460.48358494961,201909
164652.52380952382,573365.1904761905,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,34822.73925782521,201910
141676.7619047619,458766.95238095237,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,32381.24207619491,201911
149682.25,485444.25,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,32431.651047468888,201912
168750.3,550191.55,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,32603.88574124017,202001
486886.0,1916188.6,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,39356.001199459424,202002
864417.5,2747174.772727273,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,31780.647346071462,202003
375744.85,1211660.0,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,32246.88242566731,202004
778175.6315789474,2978687.1578947366,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,38277.82620037676,202005
385792.0,1580201.8636363635,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,40959.94379448934,202006
396154.45,1665227.35,N,코스닥,삼천당제약,A000250,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,42034.8010731673,202007
927617.4347826086,3999985.8695652173,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,43121.07254110238,201907
903690.7142857143,3878729.761904762,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,42920.98724252741,201908
1073085.6842105263,4778577.105263158,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,44531.179341738934,201909
1026559.7142857143,4307587.095238095,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,41961.388463751835,201910
858588.1904761905,3735753.9523809524,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,43510.42786075391,201911
829229.85,3660559.45,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,44144.08682948401,201912
1240897.7,5176185.25,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,41713.23107456804,202001
1116295.5,4461443.35,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,39966.50842003752,202002
2298448.727272727,6338336.7727272725,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,27576.585448778576,202003
2086401.45,5969765.45,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,28612.736297705316,202004
2260222.4210526315,6959858.421052632,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,30792.803204789398,202005
1987033.2727272727,6921645.2727272725,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,34834.06829532891,202006
1940025.65,6852359.4,N,코스피,기아차,A000270,제조업,자동차용 엔진 및 자동차 제조업,자동차 및 트레일러 제조업,35320.97320465841,202007
18861.478260869564,12883.304347826086,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,6830.484954381371,201907
7988.571428571428,4736.428571428572,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,5929.005722460659,201908
368409.36842105264,325469.8947368421,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,8834.463035827706,201909
43896.380952380954,30264.095238095237,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,6894.4397195126185,201910
13230.095238095239,9222.238095238095,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,6970.651328860607,201911
361833.45,310200.7,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,8573.024412198485,201912
1029818.2,1292948.4,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,12555.113125792494,202001
161808.85,190856.8,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,11795.201560359645,202002
52135.13636363636,36604.90909090909,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,7021.159172883756,202003
419848.15,404927.6,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,9644.620322847675,202004
58254.52631578947,55451.89473684211,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,9518.898915467153,202005
137361.5909090909,129041.18181818182,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,9394.269603617526,202006
30256.95,27226.45,Y,코스닥,중앙에너비스,A000440,도매 및 소매업,기타 전문 도매업,도매 및 상품 중개업,8998.411935109125,202007
56997.260869565216,143641.60869565216,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,25201.493283048687,201907
66490.90476190476,127725.71428571429,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,19209.501621775697,201908
92546.63157894737,207366.05263157896,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,22406.655876468532,201909
63169.28571428572,136211.0,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,21562.85265217047,201910
67201.80952380953,147507.04761904763,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,21949.862461186563,201911
283049.2,649073.6,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,22931.47622392149,201912
128877.85,276668.8,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,21467.52137780076,202001
56026.0,110331.65,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,19692.937207724983,202002
118903.68181818182,171071.31818181818,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,14387.386123451333,202003
72334.7,128187.0,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,17721.370241391753,202004
63057.84210526316,119754.31578947368,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,18991.185202558387,202005
141565.54545454544,292195.7727272727,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,20640.316949231998,202006
114987.4,229942.75,N,코스피,삼일제약,A000520,제조업,의약품 제조업,의료용 물질 및 의약품 제조업,19997.212738091304,202007
2993388.2608695654,22449194.782608695,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,74995.93379205445,201907
2506382.095238095,18727682.95238095,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,74719.98378843312,201908
2542724.052631579,20696221.63157895,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,81393.89569292626,201909
3030296.380952381,24181269.523809522,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,79798.36452898273,201910
2173125.4285714286,18064515.19047619,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,83126.88698485047,201911
3571168.75,30518149.3,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,85457.03503929911,201912
2968331.0,28961620.7,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,97568.70342289993,202001
3549606.9,34620836.95,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,97534.28457106053,202002
6793697.2272727275,55684738.86363637,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,81965.29371384796,202003
4597113.55,37935595.1,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,82520.4656952622,202004
4396080.842105263,36296744.473684214,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,82566.14420289385,202005
4163191.8181818184,36039890.40909091,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,86567.93148875501,202006
2902662.0,24298966.85,Y,코스피,SK하이닉스,A000660,제조업,반도체 제조업,전자부품· 컴퓨터· 영상· 음향 및,83712.69837824728,202007
680412.5652173914,3244690.4782608696,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,47687.10403259812,201907
613185.4285714285,2481922.095238095,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,40475.8818392075,201908
655325.1578947369,2991048.1578947366,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,45642.1994770294,201909
401942.14285714284,1779157.0476190476,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,44264.00862005133,201910
337543.04761904763,1474099.8095238095,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,43671.461163895285,201911
361187.35,1523025.6,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,42167.19107133736,201912
568137.15,2271386.8,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,39979.5507123588,202001
545984.8,2065402.1,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,37828.93040245809,202002
1304089.7727272727,3473304.6818181816,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,26633.938509880194,202003
1246403.55,3962989.05,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,31795.392832441783,202004
832566.7368421053,2813245.210526316,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,33790.02650522468,202005
1597846.5909090908,5733039.818181818,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,35879.78877822069,202006
770389.5,2678200.75,N,코스피,현대건설,A000720,건설업,토목 건설업,종합 건설업,34764.242633109614,202007
75398.60869565218,1972512.956521739,N,코스피,삼성화재,A000810,금융 및 보험업,보험업,보험 및 연금업,261611.32024117617,201907
