,그룹번호,종목번호,가중점수
166,2.0,33.0,0.0
167,2.0,34.0,0.0
168,2.0,35.0,0.0
169,2.0,36.0,0.0
170,2.0,37.0,0.014554485
171,2.0,38.0,0.0
172,2.0,39.0,0.0
173,2.0,40.0,0.0
174,2.0,41.0,0.0
175,2.0,42.0,0.0
176,2.0,43.0,0.0
177,2.0,44.0,0.0
178,2.0,45.0,0.0
179,2.0,46.0,0.0
180,2.0,47.0,0.0
181,2.0,48.0,0.0
182,2.0,49.0,0.0
183,2.0,50.0,0.0
184,2.0,51.0,0.0
185,2.0,52.0,0.0
186,2.0,53.0,0.0
187,2.0,54.0,0.01817899322492445
188,2.0,55.0,0.0
189,2.0,56.0,0.0
190,2.0,57.0,0.0
191,2.0,58.0,0.0
192,2.0,59.0,0.0
193,2.0,60.0,0.0
194,2.0,61.0,0.02713146225026413
195,2.0,62.0,0.0
196,2.0,63.0,0.0
197,2.0,64.0,0.0
198,2.0,65.0,0.0
199,2.0,66.0,0.0
200,2.0,67.0,0.0
201,2.0,68.0,0.0
202,2.0,69.0,0.0
203,2.0,70.0,0.0
204,2.0,71.0,0.0
205,2.0,72.0,0.0
206,2.0,73.0,0.0
207,2.0,74.0,0.0
208,2.0,75.0,0.0
209,2.0,76.0,0.0
210,2.0,77.0,0.0
211,2.0,78.0,0.0
212,2.0,79.0,0.0
213,2.0,80.0,0.0
214,2.0,81.0,0.0
215,2.0,82.0,0.0
216,2.0,83.0,0.0
217,2.0,84.0,0.0
218,2.0,85.0,0.0
219,2.0,86.0,0.0
220,2.0,87.0,0.0
221,2.0,88.0,0.0237747512475
222,2.0,89.0,0.0
223,2.0,90.0,0.099202
224,2.0,91.0,0.0
225,2.0,92.0,0.0
226,2.0,93.0,0.0
227,2.0,94.0,0.0
228,2.0,95.0,0.0
229,2.0,96.0,0.0
230,2.0,97.0,0.0
231,2.0,98.0,0.0
232,2.0,99.0,0.0
233,2.0,100.0,0.0
234,2.0,101.0,0.0
235,2.0,102.0,0.0
236,2.0,103.0,0.0
237,2.0,104.0,0.0
238,2.0,105.0,0.0
239,2.0,106.0,0.0
240,2.0,107.0,0.0
241,2.0,108.0,0.0
242,2.0,109.0,0.0
243,2.0,110.0,0.0
244,2.0,111.0,0.0
245,2.0,112.0,0.0
246,2.0,113.0,0.0
247,2.0,114.0,0.0
248,2.0,115.0,0.0
249,2.0,116.0,0.0
250,2.0,117.0,0.0
251,2.0,118.0,0.0
252,2.0,119.0,0.0
253,2.0,120.0,0.0
254,2.0,121.0,0.0
255,2.0,122.0,0.0
256,2.0,123.0,0.0
257,2.0,124.0,0.0
258,2.0,125.0,0.0
259,2.0,126.0,0.0
260,2.0,127.0,0.0
261,2.0,128.0,0.0
262,2.0,129.0,0.0
263,2.0,130.0,0.0
264,2.0,131.0,0.0
265,2.0,132.0,0.0
266,3.0,0.0,0.0
267,3.0,1.0,0.0
268,3.0,2.0,0.0
269,3.0,3.0,0.0
270,3.0,4.0,0.0
271,3.0,5.0,0.0
272,3.0,6.0,0.0
273,3.0,7.0,0.0
274,3.0,8.0,0.0
275,3.0,9.0,0.084402
276,3.0,10.0,0.0
277,3.0,11.0,0.0
278,3.0,12.0,0.0
279,3.0,13.0,0.0
280,3.0,14.0,0.0
281,3.0,15.0,0.053855952566774314
282,3.0,16.0,0.0
283,3.0,17.0,0.16409707518402
284,3.0,18.0,0.0
285,3.0,19.0,0.0
286,3.0,20.0,0.0
287,3.0,21.0,0.03
288,3.0,22.0,0.0
289,3.0,23.0,0.0
290,3.0,24.0,0.0
291,3.0,25.0,0.0
292,3.0,26.0,0.0
293,3.0,27.0,0.0
294,3.0,28.0,0.0
295,3.0,29.0,0.0
296,3.0,30.0,0.0
297,3.0,31.0,0.0
298,3.0,32.0,0.0
299,3.0,33.0,0.0
300,3.0,34.0,0.0
301,3.0,35.0,0.0
302,3.0,36.0,0.0
303,3.0,37.0,0.0
304,3.0,38.0,0.0
305,3.0,39.0,0.0
306,3.0,40.0,0.2204467605
307,3.0,41.0,0.0
308,3.0,42.0,0.0
309,3.0,43.0,0.0
310,3.0,44.0,0.0
311,3.0,45.0,0.0
312,3.0,46.0,0.0
313,3.0,47.0,0.0
314,3.0,48.0,0.0
315,3.0,49.0,0.0
316,3.0,50.0,0.0
317,3.0,51.0,0.0
318,3.0,52.0,0.0
319,3.0,53.0,0.0
320,3.0,54.0,0.0
321,3.0,55.0,0.0
322,3.0,56.0,0.0
323,3.0,57.0,0.0
324,3.0,58.0,0.0
325,3.0,59.0,0.0
326,3.0,60.0,0.0
327,3.0,61.0,0.0
328,3.0,62.0,0.0
329,3.0,63.0,0.0
330,3.0,64.0,0.0
331,3.0,65.0,0.0
332,3.0,66.0,0.0
333,3.0,67.0,0.0
334,3.0,68.0,0.0
335,3.0,69.0,0.0
336,3.0,70.0,0.0
337,3.0,71.0,0.0
338,3.0,72.0,0.0
339,3.0,73.0,0.0
340,3.0,74.0,0.0
341,3.0,75.0,0.0
342,3.0,76.0,0.0
343,3.0,77.0,0.0
344,3.0,78.0,0.027405517424509224
345,3.0,79.0,0.03765920597604
346,3.0,80.0,0.0
347,3.0,81.0,0.0
348,3.0,82.0,0.0
349,3.0,83.0,0.0
350,3.0,84.0,0.0
351,3.0,85.0,0.0
352,3.0,86.0,0.0
353,3.0,87.0,0.03900897
354,3.0,88.0,0.0
355,3.0,89.0,0.0
356,3.0,90.0,0.0
357,3.0,91.0,0.0
358,3.0,92.0,0.0
359,3.0,93.0,0.0
360,3.0,94.0,0.0
361,3.0,95.0,0.0
362,3.0,96.0,0.0
363,3.0,97.0,0.0
364,3.0,98.0,0.0
365,3.0,99.0,0.0
366,3.0,100.0,0.0
367,3.0,101.0,0.0
368,3.0,102.0,0.0
369,3.0,103.0,0.0
370,3.0,104.0,0.0
371,3.0,105.0,0.0
372,3.0,106.0,0.0
373,3.0,107.0,0.0
374,3.0,108.0,0.0
375,3.0,109.0,0.0
376,3.0,110.0,0.0
377,3.0,111.0,0.0
378,3.0,112.0,0.0
379,3.0,113.0,0.0
380,3.0,114.0,0.0
381,3.0,115.0,0.0
382,3.0,116.0,0.0
383,3.0,117.0,0.0
384,3.0,118.0,0.0
385,3.0,119.0,0.0
386,3.0,120.0,0.0
387,3.0,121.0,0.0
388,3.0,122.0,0.0
389,3.0,123.0,0.0
390,3.0,124.0,0.0
391,3.0,125.0,0.0
392,3.0,126.0,0.0
393,3.0,127.0,0.0
394,3.0,128.0,0.0
395,3.0,129.0,0.0
396,3.0,130.0,0.0
397,3.0,131.0,0.0
398,3.0,132.0,0.0
399,4.0,0.0,0.0
400,4.0,1.0,0.0
401,4.0,2.0,0.0
402,4.0,3.0,0.42248509795149264
403,4.0,4.0,0.0
404,4.0,5.0,0.0
405,4.0,6.0,0.0
406,4.0,7.0,0.0
407,4.0,8.0,0.0
408,4.0,9.0,0.0399
409,4.0,10.0,0.0
410,4.0,11.0,0.0
411,4.0,12.0,0.0
412,4.0,13.0,0.0
413,4.0,14.0,0.0
414,4.0,15.0,0.0
415,4.0,16.0,0.0
416,4.0,17.0,0.5680756414193536
417,4.0,18.0,0.09082821453552
418,4.0,19.0,0.0
419,4.0,20.0,0.0
420,4.0,21.0,0.0
421,4.0,22.0,0.0
422,4.0,23.0,0.0
423,4.0,24.0,0.0
424,4.0,25.0,0.0
425,4.0,26.0,0.0
426,4.0,27.0,0.0
427,4.0,28.0,0.0
428,4.0,29.0,0.0
429,4.0,30.0,0.0
430,4.0,31.0,0.0
431,4.0,32.0,0.0
432,4.0,33.0,0.0
433,4.0,34.0,0.0
434,4.0,35.0,0.0
435,4.0,36.0,0.0
436,4.0,37.0,0.0
437,4.0,38.0,0.0
438,4.0,39.0,0.0
439,4.0,40.0,0.01
440,4.0,41.0,0.0
441,4.0,42.0,0.0
442,4.0,43.0,0.0
443,4.0,44.0,0.0
444,4.0,45.0,0.0
445,4.0,46.0,0.0
446,4.0,47.0,0.0
447,4.0,48.0,0.0
448,4.0,49.0,0.0
449,4.0,50.0,0.0
450,4.0,51.0,0.0
451,4.0,52.0,0.0
452,4.0,53.0,0.0
453,4.0,54.0,0.0
454,4.0,55.0,0.0
455,4.0,56.0,0.0
456,4.0,57.0,0.0
457,4.0,58.0,0.0
458,4.0,59.0,0.0
459,4.0,60.0,0.0
460,4.0,61.0,0.0
461,4.0,62.0,0.0
462,4.0,63.0,0.0
463,4.0,64.0,0.0
464,4.0,65.0,0.0
465,4.0,66.0,0.0
466,4.0,67.0,0.0
467,4.0,68.0,0.0
468,4.0,69.0,0.0
469,4.0,70.0,0.0
470,4.0,71.0,0.0
471,4.0,72.0,0.0
472,4.0,73.0,0.0
473,4.0,74.0,0.0
474,4.0,75.0,0.0
475,4.0,76.0,0.0
476,4.0,77.0,0.0
477,4.0,78.0,0.17438083742953048
478,4.0,79.0,0.0
479,4.0,80.0,0.0
480,4.0,81.0,0.0
481,4.0,82.0,0.0
482,4.0,83.0,0.0
483,4.0,84.0,0.0
484,4.0,85.0,0.0
485,4.0,86.0,0.0
486,4.0,87.0,0.04871097
487,4.0,88.0,0.0
488,4.0,89.0,0.0
489,4.0,90.0,0.0
490,4.0,91.0,0.0
491,4.0,92.0,0.0
492,4.0,93.0,0.0
493,4.0,94.0,0.0
494,4.0,95.0,0.0
495,4.0,96.0,0.0
496,4.0,97.0,0.0
497,4.0,98.0,0.0
498,4.0,99.0,0.0
499,4.0,100.0,0.0
500,4.0,101.0,0.0
501,4.0,102.0,0.0
502,4.0,103.0,0.0
503,4.0,104.0,0.0
504,4.0,105.0,0.0
505,4.0,106.0,0.0
506,4.0,107.0,0.0
507,4.0,108.0,0.0
508,4.0,109.0,0.0
509,4.0,110.0,0.0
510,4.0,111.0,0.0
511,4.0,112.0,0.0
512,4.0,113.0,0.0
513,4.0,114.0,0.0
514,4.0,115.0,0.0
515,4.0,116.0,0.0
516,4.0,117.0,0.0
517,4.0,118.0,0.0
518,4.0,119.0,0.0
519,4.0,120.0,0.0
520,4.0,121.0,0.0
521,4.0,122.0,0.0
522,4.0,123.0,0.0
523,4.0,124.0,0.0
524,4.0,125.0,0.0
525,4.0,126.0,0.0
526,4.0,127.0,0.0
527,4.0,128.0,0.0
528,4.0,129.0,0.0
529,4.0,130.0,0.0
530,4.0,131.0,0.0
531,4.0,132.0,0.0
532,5.0,0.0,0.0
533,5.0,1.0,0.0
534,5.0,2.0,0.0
535,5.0,3.0,0.019019800998
536,5.0,4.0,0.0
537,5.0,5.0,0.0
538,5.0,6.0,0.0
539,5.0,7.0,0.0
540,5.0,8.0,0.0
541,5.0,9.0,0.0
542,5.0,10.0,0.0
543,5.0,11.0,0.0
544,5.0,12.0,0.0
545,5.0,13.0,0.0
546,5.0,14.0,0.0
547,5.0,15.0,0.040471097856643996
548,5.0,16.0,0.009801
549,5.0,17.0,0.4330250229012645
550,5.0,18.0,0.038520870299999996
551,5.0,19.0,0.0
552,5.0,20.0,0.0
553,5.0,21.0,0.0
554,5.0,22.0,0.0
555,5.0,23.0,0.0
556,5.0,24.0,0.0
557,5.0,25.0,0.0
558,5.0,26.0,0.0
559,5.0,27.0,0.0
560,5.0,28.0,0.0
561,5.0,29.0,0.0
562,5.0,30.0,0.0
563,5.0,31.0,0.0
564,5.0,32.0,0.0
565,5.0,33.0,0.0
566,5.0,34.0,0.0
567,5.0,35.0,0.0
568,5.0,36.0,0.0
569,5.0,37.0,0.0
570,5.0,38.0,0.0
571,5.0,39.0,0.0
572,5.0,40.0,0.0
573,5.0,41.0,0.0
574,5.0,42.0,0.0
575,5.0,43.0,0.0
576,5.0,44.0,0.0
577,5.0,45.0,0.0
578,5.0,46.0,0.0
579,5.0,47.0,0.0
580,5.0,48.0,0.0
581,5.0,49.0,0.0
582,5.0,50.0,0.0
583,5.0,51.0,0.0
584,5.0,52.0,0.0
585,5.0,53.0,0.0
586,5.0,54.0,0.088719800998
587,5.0,55.0,0.2045037203461598
588,5.0,56.0,0.0
589,5.0,57.0,0.0
590,5.0,58.0,0.0
591,5.0,59.0,0.0
592,5.0,60.0,0.0
593,5.0,61.0,0.0
594,5.0,62.0,0.0
595,5.0,63.0,0.0
596,5.0,64.0,0.0
597,5.0,65.0,0.0
598,5.0,66.0,0.0
599,5.0,67.0,0.0
600,5.0,68.0,0.0
601,5.0,69.0,0.0
602,5.0,70.0,0.0
603,5.0,71.0,0.0
604,5.0,72.0,0.0
605,5.0,73.0,0.0
606,5.0,74.0,0.0
607,5.0,75.0,0.0
608,5.0,76.0,0.0
609,5.0,77.0,0.0
610,5.0,78.0,0.33795946216362305
611,5.0,79.0,0.0
612,5.0,80.0,0.0
613,5.0,81.0,0.0
614,5.0,82.0,0.0
615,5.0,83.0,0.0
616,5.0,84.0,0.0
617,5.0,85.0,0.0
618,5.0,86.0,0.0
619,5.0,87.0,0.07811496000000001
620,5.0,88.0,0.0
621,5.0,89.0,0.0
622,5.0,90.0,0.0
623,5.0,91.0,0.0
624,5.0,92.0,0.0
625,5.0,93.0,0.0
626,5.0,94.0,0.0
627,5.0,95.0,0.0
628,5.0,96.0,0.0
629,5.0,97.0,0.0
630,5.0,98.0,0.0
631,5.0,99.0,0.0
632,5.0,100.0,0.0
633,5.0,101.0,0.0
634,5.0,102.0,0.0
635,5.0,103.0,0.0
636,5.0,104.0,0.0
637,5.0,105.0,0.0
638,5.0,106.0,0.0
639,5.0,107.0,0.0
640,5.0,108.0,0.0
641,5.0,109.0,0.0
642,5.0,110.0,0.0
643,5.0,111.0,0.0
644,5.0,112.0,0.0
645,5.0,113.0,0.0
646,5.0,114.0,0.0
647,5.0,115.0,0.0
648,5.0,116.0,0.0
649,5.0,117.0,0.0
650,5.0,118.0,0.0
651,5.0,119.0,0.0
652,5.0,120.0,0.0
653,5.0,121.0,0.0
654,5.0,122.0,0.0
655,5.0,123.0,0.0
656,5.0,124.0,0.0
657,5.0,125.0,0.0
658,5.0,126.0,0.0
659,5.0,127.0,0.0
660,5.0,128.0,0.0
661,5.0,129.0,0.0
662,5.0,130.0,0.0
663,5.0,131.0,0.0
664,5.0,132.0,0.0
665,6.0,0.0,0.0
666,6.0,1.0,0.0
667,6.0,2.0,0.0
668,6.0,3.0,0.29345681806381124
669,6.0,4.0,0.0
670,6.0,5.0,0.0
671,6.0,6.0,0.0
672,6.0,7.0,0.0
673,6.0,8.0,0.0
674,6.0,9.0,0.0
675,6.0,10.0,0.0
676,6.0,11.0,0.0
677,6.0,12.0,0.0
678,6.0,13.0,0.0
679,6.0,14.0,0.0
680,6.0,15.0,0.0
681,6.0,16.0,0.009801
682,6.0,17.0,0.5680756414193536
683,6.0,18.0,0.09106837324101
684,6.0,19.0,0.0
685,6.0,20.0,0.0
686,6.0,21.0,0.0
687,6.0,22.0,0.0
688,6.0,23.0,0.0
689,6.0,24.0,0.0
690,6.0,25.0,0.0
691,6.0,26.0,0.0
692,6.0,27.0,0.0
693,6.0,28.0,0.0
694,6.0,29.0,0.0
695,6.0,30.0,0.0
696,6.0,31.0,0.0
697,6.0,32.0,0.0
698,6.0,33.0,0.0
699,6.0,34.0,0.0
700,6.0,35.0,0.0
701,6.0,36.0,0.0
702,6.0,37.0,0.0
703,6.0,38.0,0.0
704,6.0,39.0,0.0
705,6.0,40.0,0.0
706,6.0,41.0,0.0
707,6.0,42.0,0.0
708,6.0,43.0,0.0
709,6.0,44.0,0.0
710,6.0,45.0,0.0
711,6.0,46.0,0.0
712,6.0,47.0,0.0
713,6.0,48.0,0.0
714,6.0,49.0,0.0
715,6.0,50.0,0.0
716,6.0,51.0,0.0
717,6.0,52.0,0.0
718,6.0,53.0,0.0
719,6.0,54.0,0.09717186093620968
720,6.0,55.0,0.2318756497963096
721,6.0,56.0,0.0
722,6.0,57.0,0.0
723,6.0,58.0,0.0
724,6.0,59.0,0.0
725,6.0,60.0,0.0
726,6.0,61.0,0.0
727,6.0,62.0,0.0
728,6.0,63.0,0.0
729,6.0,64.0,0.0
730,6.0,65.0,0.0
731,6.0,66.0,0.0
732,6.0,67.0,0.0
733,6.0,68.0,0.0
734,6.0,69.0,0.0
735,6.0,70.0,0.0
736,6.0,71.0,0.0
737,6.0,72.0,0.0
738,6.0,73.0,0.0
739,6.0,74.0,0.0
740,6.0,75.0,0.0
741,6.0,76.0,0.0
742,6.0,77.0,0.0
743,6.0,78.0,0.13656877294914896
744,6.0,79.0,0.0
745,6.0,80.0,0.0
746,6.0,81.0,0.0
747,6.0,82.0,0.0
748,6.0,83.0,0.0
749,6.0,84.0,0.0
750,6.0,85.0,0.0
751,6.0,86.0,0.0
752,6.0,87.0,0.01940598
753,6.0,88.0,0.0
754,6.0,89.0,0.0
755,6.0,90.0,0.0
756,6.0,91.0,0.0
757,6.0,92.0,0.0
758,6.0,93.0,0.0
759,6.0,94.0,0.0
760,6.0,95.0,0.0
761,6.0,96.0,0.0
762,6.0,97.0,0.0
763,6.0,98.0,0.0
764,6.0,99.0,0.0
765,6.0,100.0,0.0
766,6.0,101.0,0.0
767,6.0,102.0,0.0
768,6.0,103.0,0.0
769,6.0,104.0,0.0
770,6.0,105.0,0.0
771,6.0,106.0,0.0
772,6.0,107.0,0.0
773,6.0,108.0,0.0
774,6.0,109.0,0.0
775,6.0,110.0,0.0
776,6.0,111.0,0.0
777,6.0,112.0,0.0
778,6.0,113.0,0.0
779,6.0,114.0,0.0
780,6.0,115.0,0.0
781,6.0,116.0,0.0
782,6.0,117.0,0.0
783,6.0,118.0,0.0
784,6.0,119.0,0.0
785,6.0,120.0,0.0
786,6.0,121.0,0.0
787,6.0,122.0,0.0
788,6.0,123.0,0.0
789,6.0,124.0,0.0
790,6.0,125.0,0.0
791,6.0,126.0,0.0
792,6.0,127.0,0.0
793,6.0,128.0,0.0
794,6.0,129.0,0.0
795,6.0,130.0,0.0
796,6.0,131.0,0.0
797,6.0,132.0,0.0
798,7.0,0.0,0.0
799,7.0,1.0,0.0
800,7.0,2.0,0.0
801,7.0,3.0,0.06881630149401
802,7.0,4.0,0.0
803,7.0,5.0,0.0
804,7.0,6.0,0.0
805,7.0,7.0,0.0
806,7.0,8.0,0.0
807,7.0,9.0,0.0
808,7.0,10.0,0.0
809,7.0,11.0,0.0
810,7.0,12.0,0.0
811,7.0,13.0,0.0
812,7.0,14.0,0.0
813,7.0,15.0,0.0
814,7.0,16.0,0.0
815,7.0,17.0,0.3580321233783695
816,7.0,18.0,0.0
817,7.0,19.0,0.0
818,7.0,20.0,0.0
819,7.0,21.0,0.0
820,7.0,22.0,0.0
821,7.0,23.0,0.0
822,7.0,24.0,0.0
823,7.0,25.0,0.0
824,7.0,26.0,0.0
825,7.0,27.0,0.0
826,7.0,28.0,0.0
827,7.0,29.0,0.0
828,7.0,30.0,0.0
829,7.0,31.0,0.08818547021860483
830,7.0,32.0,0.0
831,7.0,33.0,0.0
832,7.0,34.0,0.0
833,7.0,35.0,0.0
834,7.0,36.0,0.0
835,7.0,37.0,0.0
836,7.0,38.0,0.0
837,7.0,39.0,0.0
838,7.0,40.0,0.0
839,7.0,41.0,0.0
840,7.0,42.0,0.0
841,7.0,43.0,0.0
842,7.0,44.0,0.0
843,7.0,45.0,0.0
844,7.0,46.0,0.0
845,7.0,47.0,0.0
846,7.0,48.0,0.0
847,7.0,49.0,0.0
848,7.0,50.0,0.0
849,7.0,51.0,0.0
850,7.0,52.0,0.0
851,7.0,53.0,0.0
852,7.0,54.0,0.0
853,7.0,55.0,0.0
854,7.0,56.0,0.0
855,7.0,57.0,0.0
856,7.0,58.0,0.0
857,7.0,59.0,0.0
858,7.0,60.0,0.0
859,7.0,61.0,0.0
860,7.0,62.0,0.0
861,7.0,63.0,0.0
862,7.0,64.0,0.0
863,7.0,65.0,0.0
864,7.0,66.0,0.0
865,7.0,67.0,0.0
866,7.0,68.0,0.0
867,7.0,69.0,0.038425780998
868,7.0,70.0,0.0
869,7.0,71.0,0.0
870,7.0,72.0,0.0
871,7.0,73.0,0.0
872,7.0,74.0,0.0
873,7.0,75.0,0.0
874,7.0,76.0,0.0
875,7.0,77.0,0.0
876,7.0,78.0,0.14907435917274464
877,7.0,79.0,0.0
878,7.0,80.0,0.0
879,7.0,81.0,0.0
880,7.0,82.0,0.0
881,7.0,83.0,0.0
882,7.0,84.0,0.028817880299999998
883,7.0,85.0,0.0
884,7.0,86.0,0.0
885,7.0,87.0,0.0
886,7.0,88.0,0.1911393004
887,7.0,89.0,0.0
888,7.0,90.0,0.0
889,7.0,91.0,0.0
890,7.0,92.0,0.0
891,7.0,93.0,0.0
892,7.0,94.0,0.0
893,7.0,95.0,0.0
894,7.0,96.0,0.0
895,7.0,97.0,0.0
896,7.0,98.0,0.0
897,7.0,99.0,0.0
898,7.0,100.0,0.0
899,7.0,101.0,0.0
900,7.0,102.0,0.0
901,7.0,103.0,0.0
902,7.0,104.0,0.0
903,7.0,105.0,0.0
904,7.0,106.0,0.0
905,7.0,107.0,0.0
906,7.0,108.0,0.0
907,7.0,109.0,0.0
908,7.0,110.0,0.0
909,7.0,111.0,0.0
910,7.0,112.0,0.0
911,7.0,113.0,0.0
912,7.0,114.0,0.0
913,7.0,115.0,0.0
914,7.0,116.0,0.0
915,7.0,117.0,0.0
916,7.0,118.0,0.0
917,7.0,119.0,0.0
918,7.0,120.0,0.0
919,7.0,121.0,0.0
920,7.0,122.0,0.0
921,7.0,123.0,0.0
922,7.0,124.0,0.0
923,7.0,125.0,0.0
924,7.0,126.0,0.0
925,7.0,127.0,0.0
926,7.0,128.0,0.0
927,7.0,129.0,0.0
928,7.0,130.0,0.0
929,7.0,131.0,0.0
930,7.0,132.0,0.0
931,8.0,0.0,0.0
932,8.0,1.0,0.0
933,8.0,2.0,0.0
934,8.0,3.0,0.0
935,8.0,4.0,0.0
936,8.0,5.0,0.0
937,8.0,6.0,0.0
938,8.0,7.0,0.0
939,8.0,8.0,0.0
940,8.0,9.0,0.0547015
941,8.0,10.0,0.0
942,8.0,11.0,0.0
943,8.0,12.0,0.0
944,8.0,13.0,0.0
945,8.0,14.0,0.0
946,8.0,15.0,0.03617528300035218
947,8.0,16.0,0.0
948,8.0,17.0,0.1683850915072546
949,8.0,18.0,0.0
950,8.0,19.0,0.0
951,8.0,20.0,0.0
952,8.0,21.0,0.03
953,8.0,22.0,0.0
954,8.0,23.0,0.0
955,8.0,24.0,0.0
956,8.0,25.0,0.0
957,8.0,26.0,0.0
958,8.0,27.0,0.0
959,8.0,28.0,0.0
960,8.0,29.0,0.0
961,8.0,30.0,0.0
962,8.0,31.0,0.0
963,8.0,32.0,0.0
964,8.0,33.0,0.0
965,8.0,34.0,0.0
966,8.0,35.0,0.0
967,8.0,36.0,0.0
968,8.0,37.0,0.0
969,8.0,38.0,0.0
970,8.0,39.0,0.0
971,8.0,40.0,0.1721748902
972,8.0,41.0,0.0
973,8.0,42.0,0.0
974,8.0,43.0,0.0
975,8.0,44.0,0.0
976,8.0,45.0,0.0
977,8.0,46.0,0.0
978,8.0,47.0,0.0
979,8.0,48.0,0.0
980,8.0,49.0,0.0
981,8.0,50.0,0.0
